Skill,Course/Courses,Course Description (Knowledge),Tools,Tool Description (Application)
Scope Determination and Entity Classification,CIOT Pillar Two Award Course,"I can determine whether an MNE group is in-scope for Pillar Two by applying the €750M revenue threshold and identifying all Constituent Entities, Excluded Entities, and the Ultimate Parent Entity.",N/A,N/A
Charging Mechanism (IIR and UTPR),CIOT Pillar Two Award Course,"I understand how the Income Inclusion Rule and Undertaxed Profits Rule operate as charging mechanisms, including the ordering rules that determine which rule applies first and how top-up tax is allocated across group entities.",GIR-001: GloBE Calculator,"I can calculate top-up tax allocations using the correct IIR/UTPR mechanics and ownership percentages to determine each entity's share of the liability."
GloBE Income Calculation,CIOT Pillar Two Award Course,"I can compute GloBE Income starting from financial accounting net income, applying all mandatory adjustments including policy disallowed expenses, stock-based compensation elections, and international shipping exclusions.",GIR-001: GloBE Calculator,"I can input financial data and apply the required adjustments to derive accurate GloBE Income figures for each jurisdiction."
Adjusted Covered Taxes,CIOT Pillar Two Award Course,"I can identify which taxes qualify as Covered Taxes and apply the necessary adjustments to current and deferred tax expenses, including handling the GloBE Loss Election and post-filing amendments.",GIR-001: GloBE Calculator,"I can calculate Adjusted Covered Taxes by correctly classifying tax types and applying timing adjustments to reconcile financial statement taxes with GloBE requirements."
ETR Calculation and Top-Up Tax,CIOT Pillar Two Award Course,"I can compute the jurisdictional Effective Tax Rate by dividing Adjusted Covered Taxes by GloBE Income, then calculate the Substance-Based Income Exclusion and determine the final top-up tax liability.",GIR-001: GloBE Calculator,"I have completed end-to-end ETR calculations using the three-step process: ETR computation, SBIE application with transition rates, and top-up tax determination."
Special Structures and Restructurings,CIOT Pillar Two Award Course,"I understand how GloBE rules apply to M&A transactions, joint ventures, multi-parented groups, and investment entities, including the transition adjustments required when entities enter or exit an MNE group.",GIR-001: GloBE Calculator,"I can model the Pillar Two impact of corporate restructurings and handle mid-year acquisitions or disposals in GloBE calculations."
Safe Harbour Assessment,CIOT Pillar Two Award Course,"I can evaluate whether a jurisdiction qualifies for Transitional CbCR Safe Harbour relief using the three tests: De Minimis, Simplified ETR, and Routine Profits.",GIR-002: Safe Harbour Qualifier,"I have assessed jurisdictions against Safe Harbour criteria and determined which entities can benefit from simplified reporting in the transition period."
Filing Deadline Management,CIOT Pillar Two Award Course,"I understand the GIR filing timeline including the standard 15-month deadline and the 18-month transitional extension for first filings, plus jurisdiction-specific variations.",GIR-003: Filing Deadline Calculator,"I can determine accurate filing deadlines for any jurisdiction and fiscal year-end, accounting for transitional rules and local requirements."
GIR Form Completion,CIOT Pillar Two Award Course,"I understand the structure of the GloBE Information Return including all required data fields across the MNE Group Information, Safe Harbours, and GloBE Computations sections.",GIR-004: GIR Practice Form,"I have completed practice GIR submissions with full data entry, validation checks, and error correction across all required sections."
Designated Filing Entity Election,CIOT Pillar Two Award Course,"I can evaluate whether to make a Designated Filing Entity election, understanding the qualification criteria, filing obligations, and implications for surrogate filing arrangements.",GIR-005: DFE Assessment Tool,"I have analysed DFE election scenarios and determined the optimal filing strategy based on group structure and jurisdictional requirements."
Audit Documentation and Compliance,CIOT Pillar Two Award Course,"I understand the documentation requirements to support GloBE positions, including evidence standards, audit trail requirements, and defensive documentation practices.",GIR-006: Audit File Checklist,"I have prepared audit-ready documentation packages that meet GloBE compliance requirements and support positions taken in the GIR filing."
STTR and Inclusive Framework,CIOT Pillar Two Award Course,"I understand the Subject to Tax Rule as a treaty-based mechanism for source taxation on covered payments, and how QDMTT qualification and ongoing OECD Administrative Guidance affect compliance.",N/A,N/A
