Sheet_Name,Row_ID,Field_Reference,Field_Name,Field_Description,Data_Type,Required,XML_Element,Validation_Rule,Source_Reference,Input_Value,Calculated_Value,Validation_Status,Notes
,,,,,,,,,,,,,
HEADER,,,GIR COMPLETION CALCULATOR - SECTIONS 1-3,Per January 2025 OECD GloBE Information Return Template,,,,,,,,,
HEADER,,,Version 2.0 - Fiscal Year 2024/2025,Aligned with OECD XML Schema v2.0 (January 2025),,,,,,,,,
HEADER,,,Professional Practice Course Deliverable,GloBE Information Return: Complete Filing Implementation,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTIONS,,,USER GUIDE,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTIONS,1,,Complete Section 1 first,Entity information is required for Sections 2 and 3,,,,,,,,
INSTRUCTIONS,2,,Enter Safe Harbour elections in Section 2,Qualifying jurisdictions bypass Section 3 detailed calculations,,,,,,,,
INSTRUCTIONS,3,,Complete Section 3 for each jurisdiction,For each jurisdiction NOT covered by a safe harbour election,,,,,,,,
INSTRUCTIONS,4,,Review Validation Dashboard,All validation checks must PASS before XML export,,,,,,,,
INSTRUCTIONS,5,,Use SBIE rates table,Verify correct transitional rates applied for fiscal year,,,,,,,,
INSTRUCTIONS,6,,Summary section provides group totals,Use for reconciliation and management reporting,,,,,,,,
INSTRUCTIONS,7,,Template aligned with January 2025 OECD,All fields per OECD GloBE Information Return specifications,,,,,,,,
INSTRUCTIONS,8,,Export to XML using conversion tools,Dedicated XML generation or platform integration required,,,,,,,,
,,,,,,,,,,,,,
COLOUR_LEGEND,,,Cell Colour Coding Guide,,,,,,,,,
,,,,,,,,,,,,,
COLOUR_LEGEND,1,,Light Yellow (#FFFF99),INPUT REQUIRED - Enter your data here,,,,,,,,
COLOUR_LEGEND,2,,Light Green (#E2EFDA),CALCULATION - Formula cell do not edit,,,,,,,,
COLOUR_LEGEND,3,,Light Blue (#DDEBF7),REFERENCE DATA - Lookup values do not edit,,,,,,,,
COLOUR_LEGEND,4,,Light Orange (#FCE4D6),CONDITIONAL INPUT - Enter if applicable,,,,,,,,
COLOUR_LEGEND,5,,Light Grey (#F2F2F2),LOCKED - Protected cell cannot edit,,,,,,,,
COLOUR_LEGEND,6,,Light Red (#FF6B6B),ERROR - Validation failed review and correct,,,,,,,,
COLOUR_LEGEND,7,,White (#FFFFFF),OUTPUT/DISPLAY - Read only result,,,,,,,,
,,,,,,,,,,,,,
SECTION_1,,,SECTION 1: MNE GROUP INFORMATION (50+ Data Points),,,,,,,,,
,,,,,,,,,,,,,
SECTION_1_HEADER,,,1.1 Filing Constituent Entity Identification,,,,,,,,,
,,,,,,,,,,,,,
SEC1_1.1,1.1.1,GIR/MNEGroup/Name,MNE Group Name,Legal name of ultimate parent entity or group,Text,Yes,<Name>,Cannot be empty - must match registered name,UPE registration,,,PENDING,Primary identifier
SEC1_1.1,1.1.2,GIR/MNEGroup/TIN,Filing Entity TIN,Tax identification number of DFE/UPE,Text,Yes,<TIN>,Valid TIN format per jurisdiction,Tax registration,,,PENDING,Local format required
SEC1_1.1,1.1.3,GIR/MNEGroup/TINIssuedBy,TIN Issuing Jurisdiction,Country that issued the TIN,ISO3166-Alpha2,Yes,<TINIssuedBy>,Valid ISO 3166-1 alpha-2 country code,Tax registration,,,PENDING,Two-letter code
SEC1_1.1,1.1.4,GIR/MNEGroup/Address,Registered Address,Complete registered address of UPE,Text,Yes,<Address>,Street City PostCode Country - cannot be empty,Company records,,,PENDING,Include postal code
SEC1_1.1,1.1.5,GIR/FiscalYear/Start,Fiscal Year Start,Start date of reporting period,Date,Yes,<StartDate>,Format YYYY-MM-DD valid date,Accounting records,,,PENDING,Calendar or fiscal year
SEC1_1.1,1.1.6,GIR/FiscalYear/End,Fiscal Year End,End date of reporting period,Date,Yes,<EndDate>,Format YYYY-MM-DD must be after start date,Accounting records,,,PENDING,Maximum 18 months
SEC1_1.1,1.1.7,GIR/Currency,Reporting Currency,Currency for all monetary amounts,ISO4217,Yes,<Currency>,Valid ISO 4217 currency code,Accounting policy,,,PENDING,Usually EUR or local
SEC1_1.1,1.1.8,GIR/Threshold,Revenue Threshold Met,Confirms EUR 750m threshold met in 2 of 4 prior years,Boolean,Yes,<ThresholdMet>,TRUE or FALSE,CFS/CbCR,,,PENDING,Scope determination
SEC1_1.1,1.1.9,GIR/SchemaVersion,XML Schema Version,Version of GIR schema used,Text,Yes,<SchemaVersion>,Must be v2.0 for January 2025,OECD template,,,PENDING,January 2025 schema
SEC1_1.1,1.1.10,GIR/SubmissionType,Submission Type,Original or Amended filing,Enum,Yes,<SubmissionType>,ORIGINAL or AMENDED,Filing status,,,PENDING,Track amendments
,,,,,,,,,,,,,
SECTION_1_HEADER,,,1.2 Filing Entity Identification,,,,,,,,,
,,,,,,,,,,,,,
SEC1_1.2,1.2.1,GIR/FilingEntity/Role,Filing Entity Role,DFE UPE or Designated Filing Entity role,Enum,Yes,<FilingRole>,UPE or DFE or POPE,Entity records,,,PENDING,Determines obligations
SEC1_1.2,1.2.2,GIR/FilingEntity/Name,Filing Entity Name,Legal name of entity filing the GIR,Text,Yes,<FilingEntityName>,Cannot be empty - must match registered name,Registration,,,PENDING,May differ from UPE
SEC1_1.2,1.2.3,GIR/FilingEntity/TIN,Filing Entity TIN,Tax identification number of filing entity,Text,Yes,<FilingEntityTIN>,Valid TIN format per jurisdiction,Tax registration,,,PENDING,Local format
SEC1_1.2,1.2.4,GIR/FilingEntity/Country,Filing Jurisdiction,Country where GIR is filed,ISO3166-Alpha2,Yes,<FilingCountry>,Valid ISO 3166-1 alpha-2 country code,Registration,,,PENDING,Filing location
SEC1_1.2,1.2.5,GIR/FilingEntity/Address,Filing Entity Address,Registered address of filing entity,Text,Yes,<FilingAddress>,Complete address with postal code,Company records,,,PENDING,Official address
SEC1_1.2,1.2.6,GIR/FilingEntity/Election,DFE Election Status,Whether DFE election made,Boolean,Conditional,<DFEElection>,TRUE or FALSE - required if not UPE,Election records,,,PENDING,If not UPE filing
SEC1_1.2,1.2.7,GIR/FilingEntity/ElectionDate,DFE Election Date,Date DFE election was made,Date,Conditional,<DFEElectionDate>,Valid date if election made,Election records,,,PENDING,For audit trail
SEC1_1.2,1.2.8,GIR/Contact/Name,Contact Person Name,Primary contact for GIR queries,Text,Yes,<ContactName>,Cannot be empty,HR system,,,PENDING,Authority contact
SEC1_1.2,1.2.9,GIR/Contact/Email,Contact Email,Email address for correspondence,Text,Yes,<ContactEmail>,Valid email format,HR system,,,PENDING,Official email
SEC1_1.2,1.2.10,GIR/Contact/Phone,Contact Phone,Phone number for queries,Text,No,<ContactPhone>,Valid phone format if provided,HR system,,,PENDING,Optional
,,,,,,,,,,,,,
SECTION_1_HEADER,,,1.3 Corporate Structure - Constituent Entity Details,,,,,,,,,
,,,,,,,,,,,,,
