Data_Point_ID,GIR_Section,Sub_Section,Data_Element_Name,Description,Data_Type,Required,XML_Element_Path,Source_System,Data_Owner,Priority,Validation_Rule,Notes,Collection_Status
S1-001,Section 1,1.1 Filing CE,FilingConstituentEntityName,Legal name of the Filing Constituent Entity,String,Yes,GIR/FilingCE/Name,Legal Entity Master,Tax Director,Critical,Must match registered name,Primary filer identification,Not Started
S1-002,Section 1,1.1 Filing CE,FilingCETIN,Tax Identification Number of Filing CE,String,Yes,GIR/FilingCE/TIN,Tax Registration DB,Tax Compliance,Critical,Valid TIN format per jurisdiction,Local tax ID required,Not Started
S1-003,Section 1,1.1 Filing CE,FilingCEJurisdiction,Jurisdiction where Filing CE is located,Country Code,Yes,GIR/FilingCE/Jurisdiction,Legal Entity Master,Tax Director,Critical,ISO 3166-1 alpha-2,Two-letter country code,Not Started
S1-004,Section 1,1.1 Filing CE,FilingCEAddress,Registered address of Filing CE,String,Yes,GIR/FilingCE/Address,Legal Entity Master,Corporate Secretary,High,Complete address required,Include postal code,Not Started
S1-005,Section 1,1.1 Filing CE,FilingCEType,Type of constituent entity (UPE/Filing CE/Other),Enumeration,Yes,GIR/FilingCE/EntityType,Legal Entity Master,Tax Director,Critical,Valid entity type code,Determines filing obligations,Not Started
S1-006,Section 1,1.1 Filing CE,FilingRole,Role in GIR filing (Primary/Designated),Enumeration,Yes,GIR/FilingCE/FilingRole,GIR Configuration,Tax Director,Critical,Must be Primary or Designated,One primary filer per group,Not Started
S1-007,Section 1,1.1 Filing CE,FilingBasis,Basis for filing (IIR/UTPR/QDMTT),Enumeration,Yes,GIR/FilingCE/FilingBasis,GIR Configuration,Tax Director,Critical,Valid filing basis code,Determines allocation rules,Not Started
S1-008,Section 1,1.1 Filing CE,ContactName,Name of primary contact person,String,Yes,GIR/FilingCE/Contact/Name,HR System,Tax Manager,Medium,Non-empty string,For authority queries,Not Started
S1-009,Section 1,1.1 Filing CE,ContactEmail,Email of primary contact,String,Yes,GIR/FilingCE/Contact/Email,HR System,Tax Manager,Medium,Valid email format,Official correspondence,Not Started
S1-010,Section 1,1.1 Filing CE,ContactPhone,Phone number of primary contact,String,No,GIR/FilingCE/Contact/Phone,HR System,Tax Manager,Low,Valid phone format,Optional contact method,Not Started
S1-011,Section 1,1.2 UPE Info,UPEName,Legal name of Ultimate Parent Entity,String,Yes,GIR/UPE/Name,Legal Entity Master,Group Tax,Critical,Must match registered name,Group parent identification,Not Started
S1-012,Section 1,1.2 UPE Info,UPETIN,Tax Identification Number of UPE,String,Yes,GIR/UPE/TIN,Tax Registration DB,Group Tax,Critical,Valid TIN format,May differ from Filing CE,Not Started
S1-013,Section 1,1.2 UPE Info,UPEJurisdiction,Jurisdiction where UPE is located,Country Code,Yes,GIR/UPE/Jurisdiction,Legal Entity Master,Group Tax,Critical,ISO 3166-1 alpha-2,Determines IIR applicability,Not Started
S1-014,Section 1,1.2 UPE Info,UPEAddress,Registered address of UPE,String,Yes,GIR/UPE/Address,Legal Entity Master,Corporate Secretary,High,Complete address required,Official registered office,Not Started
S1-015,Section 1,1.2 UPE Info,UPEIncorporationDate,Date UPE was incorporated,Date,No,GIR/UPE/IncorporationDate,Legal Entity Master,Corporate Secretary,Low,Valid date format,For transitional rules,Not Started
S1-016,Section 1,1.2 UPE Info,UPEFiscalYearEnd,Fiscal year end date of UPE,Date,Yes,GIR/UPE/FiscalYearEnd,Financial Calendar,Group Tax,Critical,Valid date DD-MMM,Determines filing periods,Not Started
S1-017,Section 1,1.2 UPE Info,ConsolidatedRevenue,Consolidated group revenue (EUR),Decimal,Yes,GIR/UPE/ConsolidatedRevenue,Consolidation System,Group Finance,Critical,>= 750000000 for in-scope,Threshold test amount,Not Started
S1-018,Section 1,1.2 UPE Info,ReportingCurrency,Currency used for GIR reporting,Currency Code,Yes,GIR/UPE/ReportingCurrency,GIR Configuration,Group Tax,Critical,ISO 4217 currency code,Usually EUR or local,Not Started
S1-019,Section 1,1.2 UPE Info,ExchangeRateMethod,Method for currency translation,Enumeration,Yes,GIR/UPE/ExchangeRateMethod,GIR Configuration,Group Tax,High,Average or Spot rate,Consistent application required,Not Started
S1-020,Section 1,1.2 UPE Info,AccountingStandard,Accounting framework used,Enumeration,Yes,GIR/UPE/AccountingStandard,GIR Configuration,Group Finance,Critical,IFRS/Local GAAP/US GAAP,Affects adjustments,Not Started
S1-021,Section 1,1.3 Corporate Structure,TotalConstituentEntities,Total number of CEs in group,Integer,Yes,GIR/Structure/TotalCEs,Legal Entity Master,Group Tax,High,Positive integer,Include all owned entities,Not Started
S1-022,Section 1,1.3 Corporate Structure,JurisdictionCount,Number of jurisdictions with CEs,Integer,Yes,GIR/Structure/JurisdictionCount,Legal Entity Master,Group Tax,High,Positive integer,Determines filing complexity,Not Started
S1-023,Section 1,1.3 Corporate Structure,CEName,Name of each Constituent Entity,String,Yes,GIR/Structure/CE/Name,Legal Entity Master,Group Tax,Critical,Must match registered name,Per entity row,Not Started
S1-024,Section 1,1.3 Corporate Structure,CETIN,TIN of each Constituent Entity,String,Yes,GIR/Structure/CE/TIN,Tax Registration DB,Tax Compliance,Critical,Valid local TIN format,Per entity row,Not Started
S1-025,Section 1,1.3 Corporate Structure,CEJurisdiction,Location of each CE,Country Code,Yes,GIR/Structure/CE/Jurisdiction,Legal Entity Master,Group Tax,Critical,ISO 3166-1 alpha-2,Per entity row,Not Started
S1-026,Section 1,1.3 Corporate Structure,CEOwnershipPercentage,Ownership % in each CE,Decimal,Yes,GIR/Structure/CE/Ownership,Legal Entity Master,Group Tax,Critical,0-100 percentage,Determines consolidation,Not Started
S1-027,Section 1,1.3 Corporate Structure,CEEntityType,Type of each CE,Enumeration,Yes,GIR/Structure/CE/EntityType,Legal Entity Master,Group Tax,High,Valid entity type,PE/JV/Investment Entity,Not Started
S1-028,Section 1,1.3 Corporate Structure,CEFlowThrough,Whether CE is flow-through entity,Boolean,Yes,GIR/Structure/CE/FlowThrough,Legal Entity Master,Group Tax,High,True/False,Affects tax allocation,Not Started
S1-029,Section 1,1.3 Corporate Structure,CEExcluded,Whether CE is excluded from scope,Boolean,Yes,GIR/Structure/CE/Excluded,GIR Configuration,Group Tax,High,True/False,Exclusion reason required,Not Started
S1-030,Section 1,1.3 Corporate Structure,CEExclusionReason,Reason for CE exclusion if applicable,Enumeration,Conditional,GIR/Structure/CE/ExclusionReason,GIR Configuration,Group Tax,High,Valid exclusion code,Required if CEExcluded=True,Not Started
S1-031,Section 1,1.3 Corporate Structure,CELEIIN,Legal Entity Identifier of CE,String,No,GIR/Structure/CE/LEI,Legal Entity Master,Corporate Secretary,Low,Valid LEI format,20-character alphanumeric,Not Started
S1-032,Section 1,1.3 Corporate Structure,CEIncorporationDate,Incorporation date of CE,Date,No,GIR/Structure/CE/IncorporationDate,Legal Entity Master,Corporate Secretary,Low,Valid date format,For transitional rules,Not Started
S1-033,Section 1,1.3 Corporate Structure,CEFunctionalCurrency,Functional currency of CE,Currency Code,Yes,GIR/Structure/CE/FunctionalCurrency,Financial System,Local Finance,High,ISO 4217 code,For translation,Not Started
S1-034,Section 1,1.3 Corporate Structure,CEMainActivity,Primary business activity of CE,String,No,GIR/Structure/CE/MainActivity,Legal Entity Master,Group Tax,Medium,Free text description,For exclusion analysis,Not Started
S1-035,Section 1,1.3 Corporate Structure,ParentEntityName,Name of immediate parent,String,Yes,GIR/Structure/CE/ParentEntity,Legal Entity Master,Group Tax,High,Must match CE in structure,Chain of ownership,Not Started
