Tool_ID,Tool_Name,Category,Form,Status,Purpose,Inputs,Outputs,User_Flow,Data_Required,Limitations,Used_By
VAT-001,VAT Calculator,VAT,Calculator,Planned,Practice the fundamental VAT calculation that underpins all VAT compliance work: converting between net and gross amounts and isolating the VAT element. Learners understand how VAT is added to prices and how to extract VAT from VAT-inclusive amounts.,Amount (number) | VAT rate (percentage) | Calculation direction: either 'Add VAT to net amount' or 'Extract VAT from gross amount',Net amount | VAT amount | Gross amount | Calculation breakdown showing the formula used,1. User selects calculation direction: 'Add VAT to net amount' or 'Extract VAT from gross amount'. 2. User enters the amount (net or gross depending on direction selected). 3. User enters the VAT rate as a percentage. 4. User clicks 'Calculate'. 5. Results panel displays: net amount and gross amount and VAT amount and the formula used (e.g. 'Net £100 × 20% = £20 VAT'). 6. User can click 'Clear' to reset all fields and start a new calculation.,None - user provides all values,Does NOT: determine which VAT rate applies to a supply | validate whether VAT should be charged | handle multiple rates in one calculation | connect to any tax authority system | store or track transactions | generate returns or compliance reports. User must know the applicable rate before using this tool.,—
GIR-001,GIR ETR Calculator,Pillar Two,Calculator,Planned,Practice calculating the Effective Tax Rate (ETR) for a jurisdiction under GloBE Rules. Learners understand how GloBE Income and Adjusted Covered Taxes combine to determine whether a jurisdiction is low-taxed (ETR below 15%).,GloBE Income (currency amount) | Adjusted Covered Taxes (currency amount) | Jurisdiction name (text - optional for display),Jurisdictional ETR (percentage to 4 decimal places) | Top-up Tax Percentage (15% minus ETR or 0 if ETR >= 15%) | Status indicator (Low-Taxed Jurisdiction or Compliant) | Calculation breakdown showing formula,1. User enters GloBE Income amount. 2. User enters Adjusted Covered Taxes amount. 3. User optionally enters jurisdiction name for reference. 4. User clicks 'Calculate ETR'. 5. Results panel displays: ETR percentage | Top-up Tax Percentage | Status (red if low-taxed or green if compliant) | Formula breakdown. 6. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: perform GloBE Income adjustments | calculate Adjusted Covered Taxes from components | handle negative GloBE Income scenarios | connect to any tax system | validate data accuracy | generate actual GIR filings. This is for learning the ETR calculation only.,GloBE Information Return: Complete Filing Implementation
GIR-002,GIR SBIE Calculator,Pillar Two,Calculator,Planned,Practice calculating the Substance-Based Income Exclusion (SBIE) for a jurisdiction. Learners understand how payroll and tangible asset carve-outs reduce the Excess Profit subject to Top-up Tax.,Fiscal Year (dropdown: 2024-2033+) | Eligible Payroll Costs (currency) | Eligible Tangible Assets NBV (currency),Payroll Carve-out Rate (based on fiscal year) | Payroll SBIE Amount | Asset Carve-out Rate (based on fiscal year) | Asset SBIE Amount | Total SBIE | Calculation breakdown,1. User selects Fiscal Year from dropdown (rates vary by year during transition). 2. User enters Eligible Payroll Costs. 3. User enters Eligible Tangible Assets (Net Book Value). 4. User clicks 'Calculate SBIE'. 5. Results panel displays: applicable rates for selected year | Payroll SBIE calculation | Asset SBIE calculation | Total SBIE | Formula breakdown. 6. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: determine which payroll costs are eligible | calculate tangible asset NBV | validate asset location requirements | handle SBIE for PEs or JVs | connect to any tax system. User must know eligible amounts before using this tool.,GloBE Information Return: Complete Filing Implementation
GIR-003,GIR Top-Up Tax Calculator,Pillar Two,Calculator,Planned,Practice the complete Top-up Tax calculation for a jurisdiction by combining ETR and SBIE to determine the Top-up Tax amount. Learners see how all GloBE calculation components work together.,GloBE Income (currency) | Adjusted Covered Taxes (currency) | Total SBIE (currency) | QDMTT Amount (currency - optional),ETR (percentage) | Top-up Tax Percentage | Excess Profit (GloBE Income minus SBIE) | Gross Top-up Tax | QDMTT Offset | Net Top-up Tax (IIR/UTPR amount) | Full calculation breakdown,1. User enters GloBE Income. 2. User enters Adjusted Covered Taxes. 3. User enters Total SBIE (can use result from GIR-002). 4. User optionally enters QDMTT amount if jurisdiction has QDMTT. 5. User clicks 'Calculate Top-up Tax'. 6. Results panel displays: ETR | Top-up Tax % | Excess Profit | Gross Top-up Tax | QDMTT Offset | Net Top-up Tax | Step-by-step calculation. 7. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: calculate SBIE (use GIR-002 for that) | allocate Top-up Tax to parent entities | handle IIR vs UTPR split | process additional current Top-up Tax or prior period adjustments | connect to any tax system | generate actual filings.,GloBE Information Return: Complete Filing Implementation
GIR-004,Safe Harbour Qualification Tool,Pillar Two,Assessment,Planned,Practice assessing whether a jurisdiction qualifies for the Transitional CbCR Safe Harbour. Learners understand the three tests (De Minimis and Simplified ETR and Routine Profits) and which jurisdictions require full GloBE calculations.,Fiscal Year (dropdown: 2024-2026) | CbCR Revenue (currency) | CbCR Profit Before Tax (currency) | Simplified Covered Taxes (currency) | SBIE Amount (currency - for Routine Profits test),Test results for: De Minimis Test (Pass/Fail with thresholds) | Simplified ETR Test (Pass/Fail with calculated ETR vs threshold) | Routine Profits Test (Pass/Fail) | Overall Safe Harbour Status | Recommendation (Safe Harbour applies or Full GloBE calculation required),1. User selects Fiscal Year (ETR threshold varies: 15% for 2024 | 16% for 2025 | 17% for 2026). 2. User enters CbCR Revenue. 3. User enters CbCR Profit Before Tax. 4. User enters Simplified Covered Taxes. 5. User enters SBIE Amount. 6. User clicks 'Check Safe Harbour'. 7. Results panel displays: each test result with Pass/Fail and supporting calculation | Overall status | Clear recommendation. 8. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: validate CbCR data quality | determine if CbCR is 'qualified' | handle QDMTT Safe Harbour | connect to any tax system | provide binding advice. This is for learning safe harbour assessment only. Professional judgment required for actual filings.,GloBE Information Return: Complete Filing Implementation
GIR-005,GIR Filing Deadline Calculator,Pillar Two,Calculator,Planned,Practice determining GIR filing deadlines based on fiscal year end and filing jurisdiction. Learners understand the standard 15-month deadline and jurisdiction-specific variations and transition year extensions.,Fiscal Year End Date (date) | Filing Jurisdiction (dropdown) | Is First Filing Year (boolean) | UPE Location (dropdown),Standard Filing Deadline | Jurisdiction-Specific Deadline (if different) | Extension Available (Yes/No with conditions) | Days Until Deadline | Key milestone dates (XML generation and internal review and sign-off),1. User enters Fiscal Year End Date. 2. User selects Filing Jurisdiction from dropdown. 3. User indicates if this is the first filing year (18-month extension may apply). 4. User selects UPE location. 5. User clicks 'Calculate Deadline'. 6. Results panel displays: standard deadline | jurisdiction variations | available extensions | countdown | recommended milestone dates. 7. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: track actual filing status | send reminders | connect to tax authority calendars | account for all possible extensions | provide legal deadline advice. Users should verify deadlines with professional advisors.,GloBE Information Return: Complete Filing Implementation
GIR-006,GIR Data Point Reference,Pillar Two,Reference,Planned,Searchable reference of all GIR data points across Sections 1-3. Learners can look up specific field requirements and understand data sourcing and see which ERP modules typically contain each data element.,Search Term (text) | Filter by Section (dropdown: All | Section 1 | Section 2 | Section 3) | Filter by Data Type (dropdown: All | Text | Numeric | Date | Code),Matching Data Points list with: Field ID | Field Name | Section | Data Type | Required/Optional | Description | Typical ERP Source | Common Issues,1. User enters search term (e.g. 'revenue' or 'tax' or 'entity'). 2. User optionally filters by GIR Section. 3. User optionally filters by Data Type. 4. User clicks 'Search'. 5. Results panel displays matching data points in sortable table. 6. User can click any row to expand detailed field information. 7. User can click 'Clear' to reset search.,Pre-loaded GIR field specifications (approximately 480 data points),Does NOT: validate actual data | map to specific ERP systems | generate data extraction queries | connect to any system. This is a reference tool for understanding GIR data requirements.,GloBE Information Return: Complete Filing Implementation
GIR-007,DFE Election Assessment Tool,Pillar Two,Assessment,Planned,Practice evaluating which entity should be elected as Designated Filing Entity (DFE) for GIR filing. Learners understand the criteria for DFE selection and implications of the choice.,UPE Jurisdiction (dropdown) | UPE Files GIR Locally (boolean) | Potential DFE Jurisdictions (multi-select) | Group Structure Complexity (Low | Medium | High) | Data Availability by Entity (ratings),Recommended DFE Option(s) | Pros and Cons for each option | Filing obligations created | Notification requirements | Risk assessment,1. User selects UPE Jurisdiction. 2. User indicates if UPE jurisdiction requires local GIR filing. 3. User selects potential DFE jurisdictions from group. 4. User rates group structure complexity. 5. User rates data availability for potential DFEs. 6. User clicks 'Assess DFE Options'. 7. Results panel displays: ranked options | pros/cons | obligations | recommendations. 8. User can click 'Clear' to reset.,None - user provides values from case study,Does NOT: provide binding legal advice | determine definitive DFE | file elections | notify tax authorities | account for all group-specific factors. Professional judgment required for actual DFE elections.,GloBE Information Return: Complete Filing Implementation
GIR-008,GIR Practice Form,Pillar Two,Form,Planned,Interactive practice version of the GIR form structure. Learners can input sample data into Sections 1-3 and see how fields relate to each other and practice form navigation before working with actual filing systems.,Section Selection (1 | 2 | 3) | Entity/Jurisdiction Selection | All fields per selected section,Populated form preview | Field validation messages | Section completion percentage | Cross-reference checks (e.g. entity IDs match across sections) | Summary of entered data,1. User selects GIR Section to practice (1 | 2 | 3). 2. User selects or creates entity/jurisdiction context. 3. Form displays all fields for that section with guidance text. 4. User enters data into fields. 5. Real-time validation shows errors or warnings. 6. User can navigate between sub-sections. 7. Summary panel shows completion status. 8. User can export entered data as reference. 9. User can click 'Reset Section' to clear.,Sample data from case studies can be pre-loaded,Does NOT: generate actual GIR XML | submit to any authority | store data permanently | replicate exact portal interface | validate against live schemas. This is for learning form structure and data relationships only.,GloBE Information Return: Complete Filing Implementation
GIR-009,GIR Audit File Checklist,Pillar Two,Checklist,Planned,Interactive checklist for building a complete GIR audit file. Learners understand documentation requirements and practice organizing supporting evidence for tax authority review.,Filing Period (text) | Filing Jurisdiction (dropdown) | Filing Type (Original | Amendment),Categorized checklist with: Documentation category | Required items | Optional items | Status tracking (Not Started | In Progress | Complete | N/A) | Completeness score | Gap identification,1. User enters filing period and jurisdiction. 2. User selects filing type. 3. Checklist displays organized by category: Governance | Data Sources | Calculations | Elections | Filing Evidence | Reconciliations. 4. User marks items as complete or N/A with notes. 5. Progress bar shows overall completeness. 6. Gaps panel highlights missing critical items. 7. User can export checklist as PDF. 8. User can click 'Reset' to start over.,None - user tracks their own progress,Does NOT: store actual documents | connect to document management systems | guarantee audit readiness | provide jurisdiction-specific requirements beyond core GIR. Users should supplement with local requirements.,GloBE Information Return: Complete Filing Implementation
